STATION,STATION_NAME,elev_m,lat_dd,lon_dd,date,MDPR,Source Flag,Time of Observation,DAPR,Source Flag,Time of Observation,PRCP,Measurement Flag,Source Flag,Time of Observation,TMAX,Quality Flag,Source Flag,Time of Observation,TMIN,Quality Flag,Source Flag,Time of Observation
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040328,-9999, ,9999,-9999, ,9999,0,P,0,1600,233, ,0,1600,50, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040329,-9999, ,9999,-9999, ,9999,0,P,0,1600,261, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040330,-9999, ,9999,-9999, ,9999,0,T,0,1600,178,I,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040331,-9999, ,9999,-9999, ,9999,0,P,0,1600,183, ,0,1600,56, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040401,-9999, ,9999,-9999, ,9999,0, ,0,1600,211, ,0,1600,33, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040402,-9999, ,9999,-9999, ,9999,0, ,0,1600,228, ,0,1600,122, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040403,-9999, ,9999,-9999, ,9999,0, ,0,1600,239, ,0,1600,50, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040404,-9999, ,9999,-9999, ,9999,0, ,0,1600,172,I,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040405,-9999, ,9999,-9999, ,9999,0, ,0,1600,167, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040406,-9999, ,9999,-9999, ,9999,0, ,0,1600,194, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040407,-9999, ,9999,-9999, ,9999,0, ,0,1600,239, ,0,1600,56, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040408,-9999, ,9999,-9999, ,9999,0, ,0,1600,250, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040409,-9999, ,9999,-9999, ,9999,0, ,0,1600,256, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040410,-9999, ,9999,-9999, ,9999,0, ,0,1600,278, ,0,1600,56, ,0,1600
